sex,age_group,n,mean_min,median_min,std_min,fastest_min
F,15-19,901,81.65,77.07,23.66,39.15
F,16-18,601,73.02,68.73,19.81,34.28
F,19-24,2150,72.83,69.08,18.34,34.23
F,25-29,4353,73.66,69.47,19.2,32.4
F,30-34,4202,75.46,70.79,20.89,32.73
F,35-39,2715,77.94,72.55,22.63,33.38
F,40-44,1922,80.95,76.08,23.36,32.78
F,45-49,1591,86.66,81.18,24.96,32.63
F,50-54,1244,87.75,82.88,24.09,37.15
F,55-59,1007,91.13,85.87,26.08,45.5
F,60-64,593,94.29,92.02,24.86,42.2
F,65-69,306,100.65,101.28,27.33,50.57
F,70-74,149,103.42,107.0,27.01,44.88
F,75-79,81,103.93,103.85,24.72,49.47
F,80-84,26,103.45,101.05,23.65,49.6
F,85-89,5,130.52,130.08,18.19,107.1
F,90-94,3,124.45,122.48,23.15,102.35
F,95+,1,175.02,175.02,,175.02
M,15-19,1232,71.83,66.15,23.18,34.45
M,16-18,647,63.03,58.77,18.83,32.33
M,19-24,2083,62.16,58.87,16.81,29.32
M,25-29,4126,62.58,59.42,16.56,28.73
M,30-34,4360,64.32,59.85,18.92,28.67
M,35-39,3166,65.49,60.77,19.99,31.73
M,40-44,2275,68.03,62.83,22.03,30.13
M,45-49,1597,70.52,64.63,22.38,31.5
M,50-54,1229,72.77,67.1,22.33,33.22
M,55-59,948,76.15,69.32,24.22,38.07
M,60-64,667,79.19,72.67,24.78,39.57
M,65-69,359,82.8,77.28,25.18,42.12
M,70-74,184,93.16,89.01,28.78,45.15
M,75-79,97,97.74,95.38,27.69,54.92
M,80-84,30,94.21,93.85,22.84,51.68
M,85-89,14,113.48,113.44,25.98,70.3
M,90-94,2,97.93,97.93,1.89,96.6
X,Non-Binary,147,74.71,70.1,22.37,39.83
