country,n,median_min,fastest_min
CAN,44576,67.73,28.67
USA,307,66.68,29.53
GBR,14,58.38,29.17
DEU,10,60.78,51.72
KOR,10,74.73,49.2
AUS,9,53.87,32.87
BRA,8,64.1,37.12
MEX,8,61.67,39.6
NLD,7,60.38,39.53
ESP,6,79.85,50.2
PHL,5,133.95,58.22
BEL,4,44.88,33.28
NZL,4,49.44,45.98
CHE,4,54.32,52.18
TWN,4,76.97,69.63
HKG,4,50.05,37.48
JAP,3,114.32,56.42
CRI,3,79.95,62.85
FRA,3,52.67,45.62
IRE,3,81.43,63.87
SVK,2,54.34,54.0
AUT,2,48.3,48.3
JPN,2,64.67,64.38
CHN,2,54.96,34.45
ITA,2,65.28,53.78
UKR,2,55.47,51.43
SWI,1,42.12,42.12
SOU,1,50.42,50.42
CHI,1,48.73,48.73
PER,1,63.82,63.82
MAC,1,98.15,98.15
GER,1,60.13,60.13
FIN,1,110.88,110.88
COL,1,77.62,77.62
HUN,1,48.42,48.42
