city,n,mean_min,median_min
Vancouver,16969,69.7,64.88
Surrey,5109,79.22,73.73
Burnaby,4992,74.52,69.12
Richmond,2737,76.68,71.62
North Vancouver,2395,69.2,64.28
Coquitlam,2389,73.71,68.48
Langley,1462,77.15,72.01
New Westminster,1315,75.1,70.22
Delta,1062,77.1,70.72
Maple Ridge,654,76.48,70.84
Port Coquitlam,634,74.33,69.05
Port Moody,602,71.48,65.35
Abbotsford,571,77.22,71.9
West Vancouver,350,71.12,65.57
Chilliwack,345,74.9,70.73
Victoria,192,68.58,61.36
Squamish,166,66.47,62.52
Mission,154,82.15,77.38
Pitt Meadows,147,71.22,65.8
Calgary,146,61.34,58.84
Kelowna,132,68.45,65.1
White Rock,131,77.68,70.43
Prince George,105,87.24,83.22
Nanaimo,98,70.9,64.68
Kamloops,95,71.86,66.93
Whistler,72,64.86,62.14
Seattle,71,66.11,64.88
Aldergrove,70,78.65,71.06
Edmonton,67,69.54,61.87
Penticton,49,78.69,73.42
Toronto,46,71.92,66.93
Tsawwassen,46,79.2,68.67
Vernon,38,73.46,72.43
Gibsons,38,76.81,70.79
Summerland,33,60.96,56.9
Sechelt,30,75.09,70.33
West Kelowna,29,73.67,69.47
Saskatoon,28,61.89,61.79
Anmore,28,68.45,70.03
Williams Lake,26,92.81,83.33
Stony Plain,26,66.79,61.48
Winnipeg,25,59.87,60.28
Lions Bay,23,82.1,69.72
Powell River,23,94.61,77.33
Agassiz,23,89.29,97.18
Campbell River,22,64.23,64.29
Garibaldi Highland,21,71.65,69.88
Bowen Island,20,61.69,55.8
Burns Lake,20,108.1,116.06
Ottawa,19,56.44,55.78
